,Group,Team 1,Team 2,Actual Result
0,A,Russia,Saudi Arabia,1
1,A,Egypt,Uruguay,2
2,B,Morocco,Iran,2
3,B,Portugal,Spain,D
4,C,France,Australia,1
5,C,Peru,Denmark,2
6,D,Argentina,Iceland,D
7,D,Croatia,Nigeria,1
8,E,Costa Rica,Serbia,2
9,E,Brazil,Switzerland,D
10,F,Germany,Mexico,2
11,F,Sweden,Korea Republic,1
12,G,Belgium,Panama,1
13,G,Tunisia,England,2
14,H,Colombia,Japan,2
15,H,Poland,Senegal,2
16,A,Russia,Egypt,1
17,A,Uruguay,Saudi Arabia,1
18,B,Portugal,Morocco,1
19,B,Iran,Spain,2
20,C,Denmark,Australia,D
21,C,France,Peru,1
22,D,Argentina,Croatia,2
23,D,Nigeria,Iceland,1
24,E,Brazil,Costa Rica,1
25,E,Serbia,Switzerland,2
26,F,Korea Republic,Mexico,2
27,F,Germany,Sweden,1
28,G,Belgium,Tunisia,1
29,G,England,Panama,1
30,H,Japan,Senegal,D
31,H,Poland,Colombia,2
32,A,Saudi Arabia,Egypt,1
33,A,Uruguay,Russia,1
34,B,Iran,Portugal,D
35,B,Spain,Morocco,D
36,C,Australia,Peru,2
37,C,Denmark,France,D
38,D,Nigeria,Argentina,2
39,D,Iceland,Croatia,2
40,E,Switzerland,Costa Rica,D
41,E,Serbia,Brazil,2
42,F,Mexico,Sweden,2
43,F,Korea Republic,Germany,1
44,H,Senegal,Colombia,2
45,H,Japan,Poland,2
46,G,England,Belgium,2
47,G,Panama,Tunisia,2
