,home,away
0,Arsenal,Aston Villa
1,Arsenal,Brighton & Hove Albion
2,Arsenal,Burnley
3,Arsenal,Chelsea
4,Arsenal,Crystal Palace
5,Arsenal,Everton
6,Arsenal,Fulham
7,Arsenal,Leeds United
8,Arsenal,Leicester City
9,Arsenal,Liverpool
10,Arsenal,Manchester City
11,Arsenal,Manchester United
12,Arsenal,Newcastle United
13,Arsenal,Sheffield United
14,Arsenal,Southampton
15,Arsenal,Tottenham Hotspur
16,Arsenal,West Bromwich Albion
17,Arsenal,West Ham United
18,Arsenal,Wolverhampton Wanderers
19,Aston Villa,Arsenal
20,Aston Villa,Brighton & Hove Albion
21,Aston Villa,Burnley
22,Aston Villa,Chelsea
23,Aston Villa,Crystal Palace
24,Aston Villa,Everton
25,Aston Villa,Fulham
26,Aston Villa,Leeds United
27,Aston Villa,Leicester City
28,Aston Villa,Liverpool
29,Aston Villa,Manchester City
30,Aston Villa,Manchester United
31,Aston Villa,Newcastle United
32,Aston Villa,Sheffield United
33,Aston Villa,Southampton
34,Aston Villa,Tottenham Hotspur
35,Aston Villa,West Bromwich Albion
36,Aston Villa,West Ham United
37,Aston Villa,Wolverhampton Wanderers
38,Brighton & Hove Albion,Arsenal
39,Brighton & Hove Albion,Aston Villa
40,Brighton & Hove Albion,Burnley
41,Brighton & Hove Albion,Chelsea
42,Brighton & Hove Albion,Crystal Palace
43,Brighton & Hove Albion,Everton
44,Brighton & Hove Albion,Fulham
45,Brighton & Hove Albion,Leeds United
46,Brighton & Hove Albion,Leicester City
47,Brighton & Hove Albion,Liverpool
48,Brighton & Hove Albion,Manchester City
49,Brighton & Hove Albion,Manchester United
50,Brighton & Hove Albion,Newcastle United
51,Brighton & Hove Albion,Sheffield United
52,Brighton & Hove Albion,Southampton
53,Brighton & Hove Albion,Tottenham Hotspur
54,Brighton & Hove Albion,West Bromwich Albion
55,Brighton & Hove Albion,West Ham United
56,Brighton & Hove Albion,Wolverhampton Wanderers
57,Burnley,Arsenal
58,Burnley,Aston Villa
59,Burnley,Brighton & Hove Albion
60,Burnley,Chelsea
61,Burnley,Crystal Palace
62,Burnley,Everton
63,Burnley,Fulham
64,Burnley,Leeds United
65,Burnley,Leicester City
66,Burnley,Liverpool
67,Burnley,Manchester City
68,Burnley,Manchester United
69,Burnley,Newcastle United
70,Burnley,Sheffield United
71,Burnley,Southampton
72,Burnley,Tottenham Hotspur
73,Burnley,West Bromwich Albion
74,Burnley,West Ham United
75,Burnley,Wolverhampton Wanderers
76,Chelsea,Arsenal
77,Chelsea,Aston Villa
78,Chelsea,Brighton & Hove Albion
79,Chelsea,Burnley
80,Chelsea,Crystal Palace
81,Chelsea,Everton
82,Chelsea,Fulham
83,Chelsea,Leeds United
84,Chelsea,Leicester City
85,Chelsea,Liverpool
86,Chelsea,Manchester City
87,Chelsea,Manchester United
88,Chelsea,Newcastle United
89,Chelsea,Sheffield United
90,Chelsea,Southampton
91,Chelsea,Tottenham Hotspur
92,Chelsea,West Bromwich Albion
93,Chelsea,West Ham United
94,Chelsea,Wolverhampton Wanderers
95,Crystal Palace,Arsenal
96,Crystal Palace,Aston Villa
97,Crystal Palace,Brighton & Hove Albion
98,Crystal Palace,Burnley
99,Crystal Palace,Chelsea
100,Crystal Palace,Everton
101,Crystal Palace,Fulham
102,Crystal Palace,Leeds United
103,Crystal Palace,Leicester City
104,Crystal Palace,Liverpool
105,Crystal Palace,Manchester City
106,Crystal Palace,Manchester United
107,Crystal Palace,Newcastle United
108,Crystal Palace,Sheffield United
109,Crystal Palace,Southampton
110,Crystal Palace,Tottenham Hotspur
111,Crystal Palace,West Bromwich Albion
112,Crystal Palace,West Ham United
113,Crystal Palace,Wolverhampton Wanderers
114,Everton,Arsenal
115,Everton,Aston Villa
116,Everton,Brighton & Hove Albion
117,Everton,Burnley
118,Everton,Chelsea
119,Everton,Crystal Palace
120,Everton,Fulham
121,Everton,Leeds United
122,Everton,Leicester City
123,Everton,Liverpool
124,Everton,Manchester City
125,Everton,Manchester United
126,Everton,Newcastle United
127,Everton,Sheffield United
128,Everton,Southampton
129,Everton,Tottenham Hotspur
130,Everton,West Bromwich Albion
131,Everton,West Ham United
132,Everton,Wolverhampton Wanderers
133,Fulham,Arsenal
134,Fulham,Aston Villa
135,Fulham,Brighton & Hove Albion
136,Fulham,Burnley
137,Fulham,Chelsea
138,Fulham,Crystal Palace
139,Fulham,Everton
140,Fulham,Leeds United
141,Fulham,Leicester City
142,Fulham,Liverpool
143,Fulham,Manchester City
144,Fulham,Manchester United
145,Fulham,Newcastle United
146,Fulham,Sheffield United
147,Fulham,Southampton
148,Fulham,Tottenham Hotspur
149,Fulham,West Bromwich Albion
150,Fulham,West Ham United
151,Fulham,Wolverhampton Wanderers
152,Leeds United,Arsenal
153,Leeds United,Aston Villa
154,Leeds United,Brighton & Hove Albion
155,Leeds United,Burnley
156,Leeds United,Chelsea
157,Leeds United,Crystal Palace
158,Leeds United,Everton
159,Leeds United,Fulham
160,Leeds United,Leicester City
161,Leeds United,Liverpool
162,Leeds United,Manchester City
163,Leeds United,Manchester United
164,Leeds United,Newcastle United
165,Leeds United,Sheffield United
166,Leeds United,Southampton
167,Leeds United,Tottenham Hotspur
168,Leeds United,West Bromwich Albion
169,Leeds United,West Ham United
170,Leeds United,Wolverhampton Wanderers
171,Leicester City,Arsenal
172,Leicester City,Aston Villa
173,Leicester City,Brighton & Hove Albion
174,Leicester City,Burnley
175,Leicester City,Chelsea
176,Leicester City,Crystal Palace
177,Leicester City,Everton
178,Leicester City,Fulham
179,Leicester City,Leeds United
180,Leicester City,Liverpool
181,Leicester City,Manchester City
182,Leicester City,Manchester United
